,Beers,Brewery,abv,Url
0,Traditional Lager,Yuengling Brewery,4.50,/beer/profile/182/1351/
1,Lager,Brooklyn Brewery,5.20,/beer/profile/45/148/
2,George Killian's Irish Red,Coors Brewing Company (Molson-Coors),4.90,/beer/profile/306/909/
3,Toasted Lager,Blue Point Brewing Company,5.50,/beer/profile/764/2318/
4,Amber,Abita Brewing Co.,4.50,/beer/profile/3/5/
5,Original Honey Brown Extra Rich Lager (Beer Brewed With Honey),Genesee Brewing Co. / Dundee Brewing Co.,4.50,/beer/profile/302/832/
6,Third Shift Amber Lager,Coors Brewing Company (Molson-Coors),5.30,/beer/profile/306/87749/
7,Riverwest Stein Beer,"Lakefront Brewery, Inc.",5.68,/beer/profile/741/2219/
8,Vinyl,Magic Hat Brewing Company,5.10,/beer/profile/96/54540/
9,Barking Squirrel Lager,Hop City Brewing Co.,5.00,/beer/profile/21537/54155/
10,Redbridge,Anheuser-Busch,4.00,/beer/profile/29/34257/
11,ZiegenBock Amber,Anheuser-Busch,4.90,/beer/profile/29/2544/
12,Coney Island Lager,Coney Island Brewing Company,5.50,/beer/profile/27114/37142/
13,Grain Belt Nordeast,August Schell Brewing Company,4.70,/beer/profile/417/57402/
14,Wisconsin Amber,Capital Brewery,5.20,/beer/profile/368/977/
15,Rickard's Red,Molson Coors Canada,5.20,/beer/profile/433/2037/
16,Creemore Springs Premium Lager,Creemore Springs Brewery Limited,5.00,/beer/profile/455/1654/
17,Red Oak,Red Oak Brewery,5.00,/beer/profile/2951/7330/
18,Lashes Lager,Jack's Abby Brewing,6.80,/beer/profile/26520/87767/
19,Texas Red Amber Lager,Rahr & Sons Brewing Company,4.50,/beer/profile/9969/20193/
20,Point Classic Amber,Stevens Point Brewery,4.90,/beer/profile/786/3921/
21,Sleeman Honey Brown Lager,Sleeman Breweries Ltd.,5.20,/beer/profile/415/1323/
22,Winter Skål,Capital Brewery,5.80,/beer/profile/368/987/
23,Schell's Dark,August Schell Brewing Company,4.80,/beer/profile/417/1964/
24,Starr Hill Jomo Lager,Starr Hill Brewery,5.57,/beer/profile/13667/33177/
25,Colorado Native Amber Lager,AC Golden Brewing Company,5.50,/beer/profile/17948/57348/
26,Michelob Honey Lager,Anheuser-Busch,4.90,/beer/profile/29/2417/
27,Ornery Amber,Tommyknocker Brewery,5.40,/beer/profile/156/2294/
28,Yard Sale Winter Lager,Uinta Brewing Company,4.00,/beer/profile/1416/77762/
29,Budweiser Freedom Reserve Red Lager,Anheuser-Busch,5.40,/beer/profile/29/341032/
30,Pre-Prohibition Style Lager,Lucky Bucket Brewing Co.,4.50,/beer/profile/19241/52046/
31,Trader Jose's Dark Lager,Trader Joe's Brewing Company,5.30,/beer/profile/10707/40888/
32,Session Fest,Full Sail Brewing Company,6.20,/beer/profile/5316/73629/
33,LTD Series - 05,Full Sail Brewing Company,5.60,/beer/profile/5316/66358/
34,Budweiser 1933 Repeal Reserve Amber Lager,Anheuser-Busch,6.10,/beer/profile/29/289889/
35,Hudepohl Amber Lager,Hudepohl-Schoenling Brewing Co., ? ,/beer/profile/431/62327/
36,100th Meridian,Mill Street Brew Pub,5.00,/beer/profile/3760/119690/
37,Lil' Wheezy,Short's Brewing Company,7.00,/beer/profile/9629/96648/
38,American Amber,Straub Brewery,4.10,/beer/profile/880/81025/
39,Preseason Lager,Goose Island Beer Co.,5.80,/beer/profile/1146/261225/
40,Rochester Red,Rochester Mills Beer Co.,6.30,/beer/profile/2346/7052/
41,Cypress Honey Lager,Granville Island Brewery,4.70,/beer/profile/780/11158/
42,Ruby Lager,Olde Hickory Brewery,4.00,/beer/profile/7753/55134/
43,Cold Brew Coffee Lager,Matt Brewing Company / Saranac Brewery,5.20,/beer/profile/99/235896/
44,Kutztown Lager,Saucony Creek Brewing Company + Gastropub,5.00,/beer/profile/30902/119142/
45,Dundee Irish Red Lager,Genesee Brewing Co. / Dundee Brewing Co.,5.00,/beer/profile/302/56521/
46,Shipping Out of Boston,Jack's Abby Brewing,5.30,/beer/profile/26520/461807/
47,Muddy Creek Lager,The Defiant Brewing Company,5.60,/beer/profile/14359/36100/
48,Stegmaier Amber Lager,"Lion Brewery, Inc.",5.30,/beer/profile/150/47413/
49,Mojave Red,Indian Wells Brewing Company, ? ,/beer/profile/619/9963/
50,Asahi Select,Asahi Breweries Ltd,4.70,/beer/profile/716/24204/
51,Lagerithm,Bottle Logic Brewing,4.80,/beer/profile/33824/134696/
52,Aruba Red,Anheuser-Busch,4.00,/beer/profile/29/2895/
53,Highland Lager,Rohrbach Brewing Company (Brewpub),5.00,/beer/profile/653/4677/
54,Amber,"Bayern Brewing, Inc. / Edelweiss Bistro",5.30,/beer/profile/605/1603/
55,Dam Lager,Sunken City Brewing Company,4.50,/beer/profile/31761/94768/
56,Auburn Lager,Mad Anthony Brewing Company,4.60,/beer/profile/1162/5241/
57,Gila Monster Amber Lager,Steinhaus Brewing Co., ? ,/beer/profile/562/5606/
58,El Oso,Bear Republic Brewing Co.,4.90,/beer/profile/15240/12665/
59,The All-Weather DELCO Lager,2SP Brewing Company,4.00,/beer/profile/40976/182619/
60,Red Leaf Smooth Red Lager,Great Lakes Brewery,5.00,/beer/profile/9408/18892/
61,Tap Room No. 21 Copper Lager,World Brews,4.50,/beer/profile/21092/88653/
62,Amber,Waterloo Brewing,6.80,/beer/profile/416/73071/
63,Kokanee Gold,Columbia Brewery,5.30,/beer/profile/5468/12331/
